Date,Name,Probe Power @ Sample mW,Filepath,Notes
20-12-9,189 mW bas,,Data/1/b.csv,
20-12-9,189 mW bs,,Data/1/b.csv,
20-12-9,189 mW ras,,Data/1/as.csv,189.6020801989
20-12-9,189 mW rs,,Data/1/s.csv,189.195446765
20-12-9,178 mW bas,,Data/2/b.csv,
20-12-9,178 mW bs,,Data/2/b.csv,
20-12-9,178 mW ras,,Data/2/as.csv,178.2902774028
20-12-9,178 mW rs,,Data/2/s.csv,177.8466772932
20-12-9,166 mW bas,,Data/3/b.csv,
20-12-9,166 mW bs,,Data/3/b.csv,
20-12-9,166 mW ras,,Data/3/as.csv,166.0173410359
20-12-9,166 mW rs,,Data/3/s.csv,166.2021744149
20-12-9,154 mW bas,,Data/4/b.csv,
20-12-9,154 mW bs,,Data/4/b.csv,
20-12-9,154 mW ras,,Data/4/as.csv,154.0771047512
20-12-9,154 mW rs,,Data/4/s.csv,154.0031713996
20-12-9,143 mW bas,,Data/5/b.csv,
20-12-9,143 mW bs,,Data/5/b.csv,
20-12-9,143 mW ras,,Data/5/as.csv,142.6174352519
20-12-9,143 mW rs,,Data/5/s.csv,142.9131686584
20-12-9,134 mW bas,,Data/6/b.csv,
20-12-9,134 mW bs,,Data/6/b.csv,
20-12-9,134 mW ras,,Data/6/as.csv,133.1909329219
20-12-9,134 mW rs,,Data/6/s.csv,133.8563330864
20-12-9,123 mW bas,,Data/7/b.csv,
20-12-9,123 mW bs,,Data/7/b.csv,
20-12-9,123 mW ras,,Data/7/as.csv,123.0250970758
20-12-9,123 mW rs,,Data/7/s.csv,123.172963779
20-12-9,106 mW bas,,Data/8/b.csv,
20-12-9,106 mW bs,,Data/8/b.csv,
20-12-9,106 mW ras,,Data/8/as.csv,106.2791929366
20-12-9,106 mW rs,,Data/8/s.csv,105.9095261785
20-12-9,94 mW bas,,Data/9/b.csv,
20-12-9,94 mW bs,,Data/9/b.csv,
20-12-9,94 mW ras,,Data/9/as.csv,94.4128900035
20-12-9,94 mW rs,,Data/9/s.csv,94.4868233551
20-12-9,84 mW bas,,Data/10/b.csv,
20-12-9,84 mW bs,,Data/10/b.csv,
20-12-9,84 mW ras,,Data/10/as.csv,83.5816539929
20-12-9,84 mW rs,,Data/10/s.csv,83.5446873171
20-12-9,73 mW bas,,Data/11/b.csv,
20-12-9,73 mW bs,,Data/11/b.csv,
20-12-9,73 mW ras,,Data/11/as.csv,73.2309847678
20-12-9,73 mW rs,,Data/11/s.csv,73.1570514162
20-12-9,61 mW bas,,Data/12/b.csv,
20-12-9,61 mW bs,,Data/12/b.csv,
20-12-9,61 mW ras,,Data/12/as.csv,61.0689484283
20-12-9,61 mW rs,,Data/12/s.csv,61.2537818073
20-12-9,43 mW bas,,Data/13/b.csv,
20-12-9,43 mW bs,,Data/13/b.csv,
20-12-9,43 mW ras,,Data/13/as.csv,42.8443772569
20-12-9,43 mW rs,,Data/13/s.csv,42.8813439327
20-12-9,32 mW bas,,Data/14/b.csv,
20-12-9,32 mW bs,,Data/14/b.csv,
20-12-9,32 mW ras,,Data/14/as.csv,31.6804411641
20-12-9,32 mW rs,,Data/14/s.csv,31.5695411366
20-12-9,24 mW bas,,Data/15/b.csv,
20-12-9,24 mW bs,,Data/15/b.csv,
20-12-9,24 mW ras,,Data/15/as.csv,24.8785728161
20-12-9,24 mW rs,,Data/15/s.csv,24.3980060307
20-12-9,14 mW bas,,Data/16/b.csv,
20-12-9,14 mW bs,,Data/16/b.csv,
20-12-9,14 mW ras,,Data/16/as.csv,13.9364367781
20-12-9,14 mW rs,,Data/16/s.csv,13.9364367781
