Date,Label,Probe,Filepath,Notes
22-10-6,10 mW bas,,10/bas4.csv,bypassing beam cube; 250 ms sweep; 1 MHz rbw; dither mode; rf amp
,10 mW bs,,10/bs4.csv,
,10 mW ras,,10/ras4.csv,10
,10 mW rs,,10/rs4.csv,10
,30 mW bas,,30/bas4.csv,
,30 mW bs,,30/bs4.csv,
,30 mW ras,,30/ras4.csv,30
,30 mW rs,,30/rs4.csv,30
,50 mW bas,,50/bas4.csv,
,50 mW bs,,50/bs4.csv,
,50 mW ras,,50/ras4.csv,50
,50 mW rs,,50/rs4.csv,50
,70 mW bas,,70/bas4.csv,
,70 mW bs,,70/bs4.csv,
,70 mW ras,,70/ras4.csv,70
,70 mW rs,,70/rs4.csv,70
,90 mW bas,,90/bas4.csv,
,90 mW bs,,90/bs4.csv,
,90 mW ras,,90/ras4.csv,90
,90 mW rs,,90/rs4.csv,90
,110 mW bas,,110/bas4.csv,
,110 mW bs,,110/bs4.csv,
,110 mW ras,,110/ras4.csv,110
,110 mW rs,,110/rs4.csv,110
,130 mW bas,,130/bas4.csv,
,130 mW bs,,130/bs4.csv,
,130 mW ras,,130/ras4.csv,130
,130 mW rs,,130/rs4.csv,130
,150 mW bas,,150/bas4.csv,
,150 mW bs,,150/bs4.csv,
,150 mW ras,,150/ras4.csv,150
,150 mW rs,,150/rs4.csv,150
,170 mW bas,,170/bas4.csv,
,170 mW bs,,170/bs4.csv,
,170 mW ras,,170/ras4.csv,170
,170 mW rs,,170/rs4.csv,170
,190 mW bas,,190/bas4.csv,
,190 mW bs,,190/bs4.csv,
,190 mW ras,,190/ras4.csv,190
,190 mW rs,,190/rs4.csv,190
,210 mW bas,,210/bas4.csv,
,210 mW bs,,210/bs4.csv,
,210 mW ras,,210/ras4.csv,210
,210 mW rs,,210/rs4.csv,210
,230 mW bas,,230/bas4.csv,
,230 mW bs,,230/bs4.csv,
,230 mW ras,,230/ras4.csv,230
,230 mW rs,,230/rs4.csv,230
,250 mW bas,,250/bas4.csv,
,250 mW bs,,250/bs4.csv,
,250 mW ras,,250/ras4.csv,250
,250 mW rs,,250/rs4.csv,250
,270 mW bas,,270/bas4.csv,
,270 mW bs,,270/bs4.csv,
,270 mW ras,,270/ras4.csv,270
,270 mW rs,,270/rs3.csv,270
,290 mW bas,,290/bas4.csv,
,290 mW bs,,290/bs4.csv,
,290 mW ras,,290/ras4.csv,290
,290 mW rs,,290/rs4.csv,290
